lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban,rural_urban_classification,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates__less_than_10_microm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_less_than_2_point_5_micro_m,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18to20,change_birth_rates_17to20,mean_fpp_score,mean_fpp_score_rounded,fpp_mean_difference,fpp_performance
W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey 007A,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,58,1,1,1,3,1027,2.92,0,2,5,7,1042,6.72,2,4,4,10,1067,9.37,2,3,1,6,1067,5.62,5,9.3,5,15,4,12,7,13.4,19,348.6,18.8,531,7.3,,6,105,89,117,4,30.3,15.6,2,13.5,45,39,89,33,52,47,78,99,9,6,9,3,7,9,10,29,19,5,3.18,26.8,24.9,3.2,10,3.1,6.5,4.3,7.2,87.7,0.166,5,1,2.91,2.11,,,0.56,Consistently decreasing,Decreasing (2018-20),103.6368421,104,1.363157895,Other
W01000002,Aberffraw & Rhosneigr 2,Isle of Anglesey 007B,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,66,1,9,1,11,1229,8.95,0,7,3,10,1203,8.31,3,13,3,19,1241,15.31,2,7,4,13,1261,10.31,7,17.46,6,13,7,7,7,12.8,19.5,312.3,17.2,595.7,6.1,,9,107,89,128,1.8,52.3,14,4,19.3,34,29,64,32,32,35,71,101,7,3,5,6,4,7,6,25,14,2,5.23,33.1,30.7,4,10,3.4,6.6,4.4,2.1,68,0.223,9,0.36,2.14,1.25,,,,Other,Other,105.3403141,105,1.659685864,Other
W01000003,Amlwch Port,Isle of Anglesey 001A,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000257,Amlwch BUA,WXX000001,152,8,13,8,29,2582,11.23,4,16,4,24,2568,9.35,14,10,6,30,2611,11.49,15,13,2,30,2597,11.55,3,57.38,3,23,3,15,4,15.3,25.1,460.8,22.3,612.5,6.2,,4,100,86,116,4.6,19.5,21.2,5,1.8,29,24,29,24,32,27,41,44,5,3,5,4,4,4,6,8,4,5,6.58,15.2,13.6,3.4,10,4.3,7.7,5.3,13.5,93.2,0.177,4,1.39,3.1,1.96,0.42,,0.48,Other,Other,102.7225131,103,-2.722513089,Other
W01000004,Amlwch Rural,Isle of Anglesey 001B,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),W37000257,Amlwch BUA,WXX000001,67,1,3,2,6,1276,4.7,0,4,2,6,1278,4.69,3,6,0,9,1257,7.16,1,3,0,4,1275,3.14,6,16.25,6,12,6,9,7,12.1,21.5,293.3,18.9,712.5,3.1,,5,97,84,120,5.1,40,19.2,2,5.3,50,44,51,53,45,51,79,69,9,6,9,8,7,7,7,8,6,7,3.35,18.2,17.2,2.5,10,3.6,7,4.6,8,69.3,0.208,7,0.7,2.18,1.12,,,,Other,Other,104.5767196,105,-7.576719577,Other
W01000005,Beaumaris,Isle of Anglesey 005A,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,98,2,6,0,8,1753,4.56,2,12,1,15,1761,8.52,2,7,2,11,1785,6.16,4,7,5,16,1797,8.9,6,17.82,5,14,7,7,8,11.9,17.7,283.5,23.7,584.5,2.7,,2,100,84,105,8.7,21.4,14,7,19.1,24,24,29,24,28,27,26,77,4,4,6,4,4,5,4,25,5,5,4.96,20,18.5,4.1,8,4.6,7.1,4.7,24.7,86.2,0.208,5,1.18,3,2.76,,,0.25,Other,Other,104.5767196,105,-4.576719577,Other
W01000006,Bodffordd,Isle of Anglesey 006A,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,87,4,17,0,21,1606,13.08,2,4,4,10,1597,6.26,4,8,4,16,1592,10.05,4,10,2,16,1585,10.09,6,10.4,7,10,6,9,7,13.6,20.8,344.1,20.3,591.1,4.8,,7,105,88,130,4.2,25.8,17.4,2,15.9,60,52,56,54,37,66,75,50,14,10,10,11,5,17,12,10,14,3,5.02,25.9,24.1,3.7,10,4,7.1,4.6,2.1,40.7,0.308,8,0.45,2.15,0.95,,,0.41,Other,Other,104.5767196,105,0.423280423,Other
W01000007,Bodorgan,Isle of Anglesey 009A,W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,88,1,8,5,14,1768,7.92,4,7,3,14,1758,7.96,0,5,3,8,1738,4.6,3,8,1,12,1727,6.95,6,13.6,7,11,7,8,8,12.2,19.8,211.8,21.5,590,8.2,,7,105,88,129,3.7,37.7,13.9,2,24,75,51,57,50,40,80,94,77,22,8,8,8,4,23,19,20,16,1,5.7,39.5,37.1,4.7,9,3.5,6.7,4.4,15.8,25.7,0.352,7,0.7,2.04,1.07,,,,Other,Other,104.5767196,105,0.423280423,Other
W01000008,Braint,Isle of Anglesey 008A,W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000291,Llanfair Pwllgwyngyll BUA,WXX000001,46,1,4,1,6,1484,4.04,0,6,0,6,1479,4.06,1,3,4,8,1493,5.36,2,6,1,9,1490,6.04,10,3.84,9,7,9,4,9,12.4,18.5,219.4,20.2,537.1,2.6,,10,111,94,135,3.7,51.3,10.3,10,3.9,23,20,23,23,25,32,44,35,3,2,3,3,4,12,10,11,4,8,4.04,12.4,11.5,1.9,9,5.8,7.2,4.8,18.3,66.7,0.231,10,,1.15,1.31,,,,Consistently decreasing,Decreasing (2017-20),108.0789474,108,2.921052632,Other
W01000009,Bryngwran,Isle of Anglesey 007C,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,135,2,7,3,12,1966,6.1,3,15,4,22,1958,11.24,5,13,4,22,1960,11.22,6,15,4,25,1977,12.65,5,31.75,5,16,5,11,6,14.9,22.3,390.6,21.4,542.1,3.6,,5,103,87,120,3.5,26.3,20.1,2,7.6,56,35,36,38,33,66,69,60,19,5,4,6,3,22,19,14,12,2,4.44,34.5,32.1,4.2,9,4.2,7.2,4.6,17.6,48.4,0.292,8,0.62,1.66,1.2,0.54,,0.25,Other,Other,103.6368421,104,-0.636842105,Other
W01000010,Brynteg,Isle of Anglesey 002A,W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000205,Benllech BUA,WXX000001,87,0,11,2,13,1923,6.76,1,12,2,15,1917,7.82,0,6,2,8,1904,4.2,1,11,7,19,1912,9.94,9,12,8,9,7,7,9,10.4,19.3,259.9,21.8,562,0.9,,7,105,88,126,3.7,40.8,13.9,7,7.2,30,26,31,28,32,33,79,73,6,4,5,5,4,5,25,26,4,8,2.41,19.2,18.2,3,9,4.4,7.1,4.7,2.1,23.1,0.18,9,0.4,1.22,1.15,,,,Other,Other,107.0104712,107,-2.010471204,Other
W01000011,Cadnant (Isle of Anglesey),Isle of Anglesey 008B,W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000348,Menai Bridge BUA,WXX000001,36,1,3,0,4,1064,3.76,1,3,0,4,1096,3.65,0,4,0,4,1100,3.64,0,2,7,9,1144,7.87,8,6.27,8,9,7,7,10,10.8,14.7,265.6,17.9,693.9,0,,9,105,91,131,3.3,43.3,8.9,10,1.1,21,18,22,20,28,20,29,28,3,2,4,3,5,3,6,7,3,2,6.14,31.2,27.7,5,9,6.5,7.3,4.9,16,94.1,0.164,1,3.19,4.48,8.2,1.22,0.56,,Consistently increasing,Increasing (2018-20),106.3036649,106,-1.303664921,Other
W01000012,Cefni,Isle of Anglesey 006B,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000298,Llangefni BUA,WXX000001,90,2,6,3,11,1692,6.5,3,10,2,15,1692,8.87,1,15,2,18,1574,11.44,4,15,1,20,1562,12.8,8,19.44,7,10,7,7,6,14.7,19.3,428.6,25.1,473.2,6.5,,8,106,93,130,3.5,40.2,12.1,9,4.9,27,25,26,27,35,29,31,32,5,3,4,5,6,6,4,5,5,10,2.02,10,8.9,1.7,10,4.8,7.3,4.7,6.3,68.3,0.221,3,1.68,3.85,4.73,0.7,,,Consistently decreasing,Decreasing (2017-20),106.3036649,106,-0.303664921,Other
W01000013,Cwm Cadnant,Isle of Anglesey 005B,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),W37000348,Menai Bridge BUA,WXX000001,125,3,11,5,19,2306,8.24,1,8,3,12,2281,5.26,1,13,4,18,2302,7.82,1,6,4,11,2230,4.93,10,9.4,10,5,9,5,10,9.7,14.5,231.5,18.5,685.5,3,,10,109,90,133,1.4,47.7,8.6,4,19.7,41,33,43,35,30,42,57,65,10,5,10,5,6,11,12,14,10,9,2.42,13.4,12.1,1.7,10,4.9,7,4.7,7.3,57.3,0.272,10,0.28,0.93,0.95,0.66,,0.2,Other,Other,108.0789474,108,0.921052632,Other
W01000014,Cyngar,Isle of Anglesey 006C,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000298,Llangefni BUA,WXX000001,162,6,24,3,33,2133,15.47,3,18,6,27,2138,12.63,5,20,2,27,2144,12.59,6,20,6,32,2173,14.73,7,31.9,5,14,5,11,6,14,19.9,424.1,25.7,502.7,5.4,,8,108,92,121,2.5,24,13.5,7,2.5,31,25,27,26,28,36,45,39,5,3,4,6,5,6,5,6,6,9,3.97,11.1,10.1,1.6,10,4.4,7.1,4.6,16.7,85.6,0.255,3,1.62,2.82,4.24,0.43,,,Consistently increasing,Increasing (2018-20),105.3403141,105,2.659685864,Other
W01000015,Gwyngyll,Isle of Anglesey 008C,W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000291,Llanfair Pwllgwyngyll BUA,WXX000001,58,1,5,2,8,1544,5.18,1,6,4,11,1528,7.2,0,5,2,7,1506,4.65,2,10,2,14,1520,9.21,9,7.2,8,7,8,6,6,15.6,17.6,366.1,27.3,635.7,2.2,,9,108,94,128,3.1,61.1,10.3,10,2.8,24,21,25,24,24,29,40,32,5,3,5,5,4,10,8,9,4,10,1.98,11.1,9.6,1.4,8,6.3,7.4,4.9,18.7,35.2,0.223,9,0.45,1.15,0.84,,,,Other,Other,107.0104712,107,0.989528796,Other
W01000016,Holyhead Town,Isle of Anglesey 003A,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,107,7,8,2,17,1364,12.46,6,10,6,22,1298,16.95,11,13,3,27,1283,21.04,7,14,0,21,1304,16.1,1,64.68,1,34,1,21,2,16.4,26,516.6,32.8,781.2,7.1,,2,100,86,112,8.5,16,24.4,7,0.3,18,15,19,19,20,24,27,23,2,2,2,5,2,6,5,4,7,3,5.4,29.5,27.1,7,7,6.4,9.1,5.9,28.6,90.6,0.136,1,3.44,7.64,9.14,1.78,0.68,0.42,Consistently decreasing,Decreasing (2018-20),100.5078534,101,-0.507853403,Other
W01000017,Kingsland,Isle of Anglesey 003B,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,102,3,9,2,14,1702,8.23,4,9,1,14,1697,8.25,5,16,7,28,1677,16.7,11,13,4,28,1666,16.81,3,64.2,2,26,3,13,4,14.1,24,510.7,28.7,647.8,7.1,,2,100,83,103,6.7,24.6,21.9,5,0.8,25,21,24,24,23,27,30,33,5,3,4,8,3,10,4,9,5,6,4.92,15.5,14.1,3.5,10,4.8,7.6,5,14.3,85.8,0.193,2,1.57,4.17,5.09,0.84,0.28,0.72,Consistently decreasing,Decreasing (2017-20),102.7225131,103,-2.722513089,Other
W01000018,Llanbadrig,Isle of Anglesey 001C,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,65,2,5,2,9,1246,7.22,2,3,2,7,1226,5.71,3,5,1,9,1228,7.33,2,5,2,9,1248,7.21,6,21.6,4,17,5,10,7,12.9,20.9,443.3,17.9,625.3,2.7,,6,101,90,115,2.1,18.5,16.6,8,6.5,30,25,27,26,30,30,106,83,4,3,3,4,3,4,19,21,6,6,2.65,27.4,25.8,3.6,10,3.9,6.9,4.5,10.4,88.5,0.185,7,0.49,3.11,1.68,,,,Other,Other,104.5767196,105,-3.576719577,Other
W01000019,Llanbedrgoch,Isle of Anglesey 005C,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000205,Benllech BUA,WXX000001,50,2,5,1,8,1404,5.7,2,3,1,6,1429,4.2,1,4,1,6,1438,4.17,1,6,4,11,1397,7.87,7,7.77,7,10,6,9,7,12.6,20.1,352,24.8,572.5,2.8,,4,100,85,110,5.6,22.1,11.9,6,6.7,33,28,32,31,31,33,75,68,7,5,6,6,4,6,25,26,5,7,3.23,20.8,19.5,2.4,6,4.2,7,4.6,30.1,47.8,0.144,7,0.66,1.88,1.45,0.44,,,Consistently increasing,Increasing (2018-20),105.3403141,105,-5.340314136,Other
W01000020,Llanddyfnan,Isle of Anglesey 002B,W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,61,0,12,2,14,1323,10.58,3,8,0,11,1342,8.2,3,5,4,12,1337,8.98,0,8,1,9,1355,6.64,8,6.24,9,7,8,5,9,10.4,18.6,278.6,16.5,630.5,7.7,,9,107,95,131,3.4,39,10.7,1,22.1,98,87,99,88,83,101,147,101,15,12,13,14,9,15,19,19,11,4,2.74,33.9,32.2,3.9,10,3.8,6.9,4.5,2.1,41.3,0.292,9,0.54,1.08,0.57,,,,Other,Other,106.3036649,106,0.696335079,Other
W01000021,Llaneilian,Isle of Anglesey 002C,W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,123,2,7,3,12,2250,5.33,4,12,2,18,2207,8.16,4,11,4,19,2224,8.54,2,10,5,17,2234,7.61,6,14.74,6,12,6,9,7,13.4,22.9,334,19.6,611.1,2.4,,7,107,91,124,3.4,29.6,16.8,2,12.3,81,67,83,65,76,85,111,90,15,8,13,5,6,13,12,12,10,4,3.17,34.1,32.2,4,9,3.6,7.1,4.6,13.9,36.9,0.24,9,0.34,1.56,0.81,,,0.22,Consistently decreasing,Decreasing (2018-20),104.5767196,105,2.423280423,Other
W01000022,Llanfaethlu,Isle of Anglesey 004A,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,58,2,4,3,9,1643,5.48,1,7,0,8,1620,4.94,5,5,3,13,1580,8.23,3,9,0,12,1595,7.52,5,22.04,6,14,7,7,6,12.7,22.6,360.9,20.3,598.2,8,,5,104,89,117,6,34.3,17.4,1,20.7,100,68,100,69,70,108,162,104,19,5,19,5,7,26,31,19,15,2,7.83,27,25.3,3.1,9,3.7,6.7,4.4,14.6,40.2,0.247,8,0.67,1.32,1.29,0.47,,0.31,Other,Other,103.6368421,104,0.363157895,Other
W01000023,Llanfair-yn-Neubwll 1,Isle of Anglesey 007D,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,126,4,4,1,9,1573,5.72,5,10,5,20,1538,13,2,9,2,13,1539,8.45,5,8,2,15,1538,9.75,6,23.31,5,15,7,8,4,17,23.3,462.9,21.5,542.6,6.8,,5,106,87,113,4.8,26.4,22.1,2,13.4,56,37,43,38,30,91,78,28,12,4,6,4,3,28,21,4,10,6,3.91,17.6,16.4,2.5,10,3.9,6.9,4.5,14.1,74.9,0.242,8,0.53,1.86,1.69,,,0.29,Other,Other,104.5767196,105,1.423280423,Other
W01000024,Llanfair-yn-Neubwll 2,Isle of Anglesey 007E,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,138,3,14,1,18,1470,12.24,5,11,4,20,1456,13.74,6,15,0,21,1449,14.49,3,15,4,22,1412,15.58,6,19.74,6,13,7,7,7,13.3,21.2,317.9,15.9,622.6,6.3,,6,105,89,110,2.7,15.7,9.7,2,8.8,46,43,41,47,32,75,80,49,14,10,11,10,3,29,22,9,12,4,6.05,19.4,18.4,2.5,10,3.5,6.8,4.4,2.1,39.1,0.261,5,1.08,3.2,2.16,,,,Consistently decreasing,Decreasing (2017-20),104.5767196,105,0.423280423,Other
W01000025,Llanfihangel Ysgeifiog,Isle of Anglesey 009B,W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,123,4,18,6,28,2107,13.29,2,14,6,22,2084,10.56,5,19,4,28,2096,13.36,7,12,4,23,2053,11.2,7,27.82,7,11,7,7,7,13.3,19.6,347.8,22.6,589.3,4,,7,106,89,124,4.4,31.4,13.3,3,20.9,55,44,47,45,43,60,70,68,13,4,5,5,5,18,18,18,6,6,5.85,14.2,13.6,2.2,8,4.7,7.3,4.8,19.4,42.9,0.28,6,0.75,2.54,1.63,0.58,0.33,0.29,Other,Other,105.3403141,105,0.659685864,Other
W01000026,Llangoed,Isle of Anglesey 005D,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,38,1,6,2,9,1177,7.65,1,3,2,6,1158,5.18,2,1,5,8,1158,6.91,2,5,0,7,1175,5.96,5,7.02,6,14,5,10,6,12.1,19.9,450.8,25.9,610.7,5.5,,5,104,82,117,5.4,37.3,14.9,1,4.3,74,54,79,57,40,77,73,98,13,5,13,5,4,13,12,33,15,6,3.1,25.3,23.7,2.8,10,4.1,7.1,4.7,14.2,85.1,0.269,10,,1.14,1.07,,,,Other,Other,103.6368421,104,0.363157895,Other
W01000027,Llanidan,Isle of Anglesey 009C,W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,103,2,16,1,19,1889,10.06,0,9,1,10,1884,5.31,0,12,3,15,1870,8.02,1,14,2,17,1859,9.14,5,15.15,6,12,7,8,6,14.6,19,350.7,25.2,580,4.7,,6,106,89,116,5.9,31.3,15.9,2,16,57,47,46,40,34,58,78,64,15,11,10,7,4,23,22,23,11,2,5.78,34.6,32.4,4.1,9,3.9,7.1,4.6,18.5,57,0.384,8,0.61,1.79,1,0.47,,,Other,Other,103.6368421,104,2.363157895,Other
W01000028,Llannerch-y-medd,Isle of Anglesey 001D,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,147,8,10,3,21,2082,10.09,6,10,3,19,2052,9.26,5,15,5,25,2046,12.22,1,15,1,17,2004,8.48,4,31.02,5,15,5,9,6,13.6,20.6,355.5,21,607.7,7.7,,5,107,85,116,4.9,27.6,18,1,10.3,112,83,86,82,74,117,139,107,25,7,9,6,6,27,26,22,23,2,5.58,33.9,31.8,4.8,7,3.6,7.1,4.5,24.9,37.2,0.263,9,0.46,1.21,0.92,,,,Other,Other,103.2931937,103,3.706806283,Outperforming
W01000029,London Road,Isle of Anglesey 003C,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,112,5,7,3,15,1532,9.79,8,8,3,19,1534,12.39,5,13,3,21,1499,14.01,3,9,2,14,1424,9.83,2,54.5,2,28,2,18,3,16.3,25.5,563,29.8,556.3,7.7,,3,105,86,113,6.6,19.1,27.7,6,0.1,21,20,20,21,25,24,30,33,4,1,5,6,3,10,6,9,3,5,4.42,20.2,18.7,3.4,10,6.2,8.2,5.3,7.7,96.7,0.142,2,1.41,6.01,4.91,0.85,0.54,,Consistently decreasing,Decreasing (2018-20),102.0890052,102,2.910994764,Other
W01000030,Maeshyfryd,Isle of Anglesey 003D,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,172,10,14,8,32,2281,14.03,8,15,3,26,2327,11.17,18,17,3,38,2331,16.3,11,21,4,36,2334,15.42,2,72.8,2,28,2,17,2,17.3,26,546.2,31.1,693.3,7.7,,2,99,87,106,5.9,20.6,28.4,5,0.1,24,19,23,28,23,31,32,28,5,2,4,7,3,9,5,5,8,6,4.52,17.7,16.1,3.2,10,5.4,8.2,5.4,8,87.7,0.194,3,1.34,3.53,2.94,1.3,0.32,0.28,Other,Other,102.0890052,102,-3.089005236,Other
W01000031,Mechell,Isle of Anglesey 001E,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,68,1,2,2,5,1565,3.19,3,7,2,12,1560,7.69,2,5,0,7,1533,4.57,5,4,4,13,1522,8.54,5,14.3,5,15,5,10,7,12.6,21.7,289.7,18.4,485.4,4.8,,7,103,85,132,3,29.5,17.6,1,7.9,111,104,122,67,73,113,168,134,15,12,13,6,6,15,26,28,12,2,4.02,38.5,36.4,4.6,9,3.5,7.1,4.5,7.6,32.5,0.232,9,0.3,1.93,0.87,,,,Other,Other,103.6368421,104,-0.636842105,Other
W01000032,Moelfre,Isle of Anglesey 002D,W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,35,1,3,0,4,952,4.2,3,4,0,7,953,7.35,2,5,1,8,966,8.28,3,2,1,6,998,6.01,6,16.24,5,15,5,10,8,11,19.4,315.8,19.2,675.3,11.8,,5,95,84,122,3,32.7,14.9,2,16.6,45,30,43,41,25,44,83,59,14,3,14,12,4,14,24,25,11,6,1.69,34.1,32.1,3.6,9,4.6,7.2,4.6,15.1,78.6,0.197,10,,2.45,1.1,,,,Consistently decreasing,Decreasing (2018-20),104.5767196,105,-9.576719577,Other
